,Age,Events,Rounds,Cuts_Made,Top_10s,Wins,Earnings,Yards/Drive,Driving_Accuracy,Greens_in_Regulation,Putting_Average,Sand_Save_Pct,Eagles,Birdies,Pars,Bogies
Age,1.0,-0.1624956724420654,-0.1615509093341505,-0.17607439364937294,-0.186920851784055,-0.1531588429034605,-0.1598453500092335,-0.26495321886275186,0.146709939300054,-0.01797695811078212,0.1296299363717355,-0.03683839754547891,-0.15882574131464916,-0.16313816243991844,-0.08787133124107055,-0.1169158462442304
Events,-0.1624956724420654,1.0,0.9482680227291387,0.7227909444412494,0.13283302590474838,0.03040291774073145,0.10022306646045136,-0.017845594502193283,-0.026570777046590097,-0.040094744779608525,-0.006075218509799276,0.009591324444790588,0.402518852547736,0.8250796247606805,0.887006356366788,0.8741424058498521
Rounds,-0.1615509093341505,0.9482680227291387,1.0,0.8956422609979606,0.3111382463011706,0.14145719878108534,0.29176923859900417,0.04435224620787218,0.010507696661702967,0.07261094200246788,-0.09736546196076282,0.0534850658848151,0.47794795610192714,0.9170783432216593,0.9430045007875869,0.8926572636782081
Cuts_Made,-0.17607439364937294,0.7227909444412494,0.8956422609979606,1.0,0.5324935849983958,0.2992336203671845,0.5397869406204755,0.1518224889628823,0.021749743858255344,0.2126677746436798,-0.21244881814651906,0.1220085407398338,0.5018661763012064,0.8843427760912828,0.8462404584173926,0.7636683329133797
Top_10s,-0.186920851784055,0.13283302590474838,0.3111382463011706,0.5324935849983958,1.0,0.612241692293733,0.888086718142241,0.3167174573097319,-0.061662729724162556,0.2684604944535552,-0.4305426947216088,0.16107407060215664,0.345372107818639,0.4407131591155978,0.27141683725624616,0.14744233417481434
Wins,-0.1531588429034605,0.03040291774073145,0.14145719878108534,0.2992336203671845,0.612241692293733,1.0,0.8072568769716301,0.27414088083250865,-0.09141324720625864,0.14070042569502864,-0.3052994836156464,0.06877488233876734,0.2361952480500003,0.23636556798675093,0.10299704426840856,0.05946392215150544
Earnings,-0.1598453500092335,0.10022306646045136,0.29176923859900417,0.5397869406204755,0.888086718142241,0.8072568769716301,1.0,0.35573347668122907,-0.07077572416637243,0.27822737073200143,-0.4086440079307145,0.15777291311224145,0.3911406441842139,0.41507061810154844,0.2417713199974983,0.14624700313833736
Yards/Drive,-0.26495321886275186,-0.017845594502193283,0.04435224620787218,0.1518224889628823,0.3167174573097319,0.27414088083250865,0.35573347668122907,1.0,-0.5714517718043495,0.39220059459268497,-0.02853387283011741,-0.1703572988098825,0.3553372244363753,0.1636152504076013,-0.012780807105862643,0.037123652287345585
Driving_Accuracy,0.146709939300054,-0.026570777046590097,0.010507696661702967,0.021749743858255344,-0.061662729724162556,-0.09141324720625864,-0.07077572416637243,-0.5714517718043495,1.0,0.2300395278545167,0.16696214489871306,-0.015896371655202288,-0.11027346529711034,-0.030448449219274764,0.06429317697642424,-0.07718241728445695
Greens_in_Regulation,-0.01797695811078212,-0.040094744779608525,0.07261094200246788,0.2126677746436798,0.2684604944535552,0.14070042569502864,0.27822737073200143,0.39220059459268497,0.2300395278545167,1.0,0.24309033475257633,-0.21928357914674984,0.19824114669618315,0.1645661635316256,0.08795351794868991,-0.07885550892471706
Putting_Average,0.1296299363717355,-0.006075218509799276,-0.09736546196076282,-0.21244881814651906,-0.4305426947216088,-0.3052994836156464,-0.4086440079307145,-0.02853387283011741,0.16696214489871306,0.24309033475257633,1.0,-0.28741389881921015,-0.16696258650758708,-0.2460810167090705,-0.06113376883184396,-0.026002899175761318
Sand_Save_Pct,-0.03683839754547891,0.009591324444790588,0.0534850658848151,0.1220085407398338,0.16107407060215664,0.06877488233876734,0.15777291311224145,-0.1703572988098825,-0.015896371655202288,-0.21928357914674984,-0.28741389881921015,1.0,-0.09438386299358756,0.07400713656779799,0.08258856836203345,-0.04253932704489514
Eagles,-0.15882574131464916,0.402518852547736,0.47794795610192714,0.5018661763012064,0.345372107818639,0.2361952480500003,0.3911406441842139,0.3553372244363753,-0.11027346529711034,0.19824114669618315,-0.16696258650758708,-0.09438386299358756,1.0,0.5377829171888475,0.4730736320568242,0.4748217160522215
Birdies,-0.16313816243991844,0.8250796247606805,0.9170783432216593,0.8843427760912828,0.4407131591155978,0.23636556798675093,0.41507061810154844,0.1636152504076013,-0.030448449219274764,0.1645661635316256,-0.2460810167090705,0.07400713656779799,0.5377829171888475,1.0,0.9444651290937875,0.885010064158783
Pars,-0.08787133124107055,0.887006356366788,0.9430045007875869,0.8462404584173926,0.27141683725624616,0.10299704426840856,0.2417713199974983,-0.012780807105862643,0.06429317697642424,0.08795351794868991,-0.06113376883184396,0.08258856836203345,0.4730736320568242,0.9444651290937875,1.0,0.9156633797969312
Bogies,-0.1169158462442304,0.8741424058498521,0.8926572636782081,0.7636683329133797,0.14744233417481434,0.05946392215150544,0.14624700313833736,0.037123652287345585,-0.07718241728445695,-0.07885550892471706,-0.026002899175761318,-0.04253932704489514,0.4748217160522215,0.885010064158783,0.9156633797969312,1.0
