Customer_ID,Age,Income,Spending_Score,Purchase_Frequency,Satisfaction_Score,Gender,Education_Level,Marital_Status,Employment_Status,Loyalty_Tier,Region,Online_Shopping_Frequency,Product_Category,Avg_Discount_Avail,Store_Visits_Per_Month,Customer_Rating,Credit_Score,Days_Since_Last_Purchase,Dependents
1,56,89240.24464,40.53227567,33,2,Female,Bachelor's,Single,Retired,Bronze,West,17,Electronics,27.71936668,9,1.583507969,604.9819056,76,0
,69,51521.16547,16.08918532,,1,Female,Bachelor's,Divorced,Unemployed,Silver,East,28,,44.91979306,2,,630.1202361,217,3
3,46,55001.62002,99.25586671,44,3,Female,High School,Married,Unemployed,Silver,East,24,Groceries,21.11651515,7,4.846977288,837.33408,54,0
4,32,69046.9412,92.77309582,11,,Male,Master's,Single,Employed,Silver,East,6,Fashion,22.03890725,1,6.63979315,653.1710308,54,1
5,60,22609.25571,54.4557559,17,4,Male,Bachelor's,Married,Retired,Gold,South,15,Home,23.81588073,2,7.54834009,316.9326129,128,0
6,25,61870.29153,84.36129614,4,4,Male,PhD,Single,Unemployed,Platinum,North,15,Fashion,29.59815407,7,7.113849988,698.0915271,84,1
7,38,,52.57483975,47,3,Female,Bachelor's,Single,Retired,Silver,South,14,Electronics,29.90706216,7,5.234506472,798.0077807,213,1
8,56,62574.65578,,25,5,Female,Master's,Single,Retired,Platinum,,5,Fashion,27.33795148,0,4.491086761,737.5691374,114,0
9,36,35569.07714,9.823318779,,3,Male,Bachelor's,Single,Unemployed,Platinum,West,8,Electronics,18.77004381,7,4.383639187,621.1082999,313,1
10,40,135768.5465,,9,3,Female,High School,Single,Employed,Platinum,,6,Groceries,46.72429092,9,6.760439172,669.2169322,292,2
11,28,97167.01896,13.64363488,21,5,Female,Bachelor's,Married,Retired,Gold,East,13,Fashion,31.48637438,1,5.453149194,844.6054841,48,0
12,,108283.3015,82.7806954,,2,Female,Bachelor's,Single,Unemployed,Gold,West,,Fashion,23.34826473,11,8.642190232,349.8641487,66,2
13,41,122592.261,78.42078068,19,5,Male,Master's,Married,Employed,Gold,South,20,Fashion,34.30296323,6,8.872317859,666.9846557,274,0
14,,84797.48586,71.16572508,19,1,Female,High School,Divorced,Retired,Gold,North,15,Electronics,39.5585041,5,2.535043402,455.868732,128,1
15,57,31299.63745,4.579877672,12,3,Male,Master's,Single,Unemployed,Silver,East,24,,48.23276397,1,2.226102864,652.0497181,28,1
16,41,89823.85044,31.00970724,37,1,Male,Bachelor's,Married,Retired,Bronze,East,5,Fashion,27.4797123,4,6.673608334,634.1929667,342,3
17,20,96289.34534,27.04814442,42,4,Male,,Divorced,Unemployed,Bronze,South,21,Fashion,,6,3.711031733,384.4012577,32,3
18,39,116907.1316,36.65350434,17,3,Male,Bachelor's,Divorced,Unemployed,Bronze,East,26,Groceries,24.83446106,7,1.167136469,413.7106552,118,2
19,19,76115.74101,9.67663193,37,4,Male,Master's,Divorced,Retired,Silver,East,15,Groceries,26.55367527,2,8.997784024,641.8962679,179,1
20,41,36585.43936,,48,2,Female,PhD,,Retired,,North,19,Home,45.36473352,0,3.042106905,370.526471,150,3
21,61,56890.86775,55.82642183,39,2,Male,Master's,Single,Unemployed,Silver,West,28,Groceries,22.76603458,12,9.363525865,445.8494813,132,1
22,47,67200.69853,31.24690676,28,1,Male,Master's,Single,Employed,Silver,North,15,Groceries,47.89959192,6,7.456910058,759.3850513,326,0
23,55,103969.2414,40.30117019,41,,Male,High School,Married,Retired,Silver,West,11,Groceries,26.83093585,12,,479.9003283,184,3
24,19,94201.17961,45.27305151,35,5,Female,PhD,Single,Unemployed,Bronze,West,16,Electronics,48.82012254,4,2.813153462,568.4330859,133,2
25,38,66292.57437,60.458839,47,3,Female,Bachelor's,Married,Unemployed,Platinum,West,4,Groceries,5.368924451,4,3.107749831,817.6271843,176,3
,,148246.9823,52.05226334,48,4,Female,,Single,Employed,Bronze,East,26,Groceries,45.44669187,6,,424.9319989,,1
27,29,98750.72652,92.01980535,18,4,Female,Bachelor's,Divorced,Employed,Bronze,North,24,Fashion,46.90042034,0,2.548898674,514.2943095,240,4
28,39,50839.48293,50.19938481,14,,Male,High School,Single,Employed,Gold,East,12,Electronics,48.24594211,7,3.748885234,633.5517765,76,4
