Year,Population,Violent crime total,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft
1960,"179,323,175","288,460","9,110","17,190","107,840","154,320","3,095,700","912,100","1,855,400","328,200"
1961,"182,992,000","289,390","8,740","17,220","106,670","156,760","3,198,600","949,600","1,913,000","336,000"
1962,"185,771,000","301,510","8,530","17,550","110,860","164,570","3,450,700","994,300","2,089,600","366,800"
1963,"188,483,000","316,970","8,640","17,650","116,470","174,210","3,792,500","1,086,400","2,297,800","408,300"
1964,"191,141,000","364,220","9,360","21,420","130,390","203,050","4,200,400","1,213,200","2,514,400","472,800"
1965,"193,526,000","387,390","9,960","23,410","138,690","215,330","4,352,000","1,282,500","2,572,600","496,900"
1966,"195,576,000","430,180","11,040","25,820","157,990","235,330","4,793,300","1,410,100","2,822,000","561,200"
1967,"197,457,000","499,930","12,240","27,620","202,910","257,160","5,403,500","1,632,100","3,111,600","659,800"
1968,"199,399,000","595,010","13,800","31,670","262,840","286,700","6,125,200","1,858,900","3,482,700","783,600"
1969,"201,385,000","661,870","14,760","37,170","298,850","311,090","6,749,000","1,981,900","3,888,600","878,500"
1970,"203,235,298","738,820","16,000","37,990","349,860","334,970","7,359,200","2,205,000","4,225,800","928,400"
1971,"206,212,000","816,500","17,780","42,260","387,700","368,760","7,771,700","2,399,300","4,424,200","948,200"
1972,"208,230,000","834,900","18,670","46,850","376,290","393,090","7,413,900","2,375,500","4,151,200","887,200"
1973,"209,851,000","875,910","19,640","51,400","384,220","420,650","7,842,200","2,565,500","4,347,900","928,800"
1974,"211,392,000","974,720","20,710","55,400","442,400","456,210","9,278,700","3,039,200","5,262,500","977,100"
1975,"213,124,000","1,039,710","20,510","56,090","470,500","492,620","10,252,700","3,265,300","5,977,700","1,009,600"
1976,"214,659,000","1,004,210","18,780","57,080","427,810","500,530","10,345,500","3,108,700","6,270,800","966,000"
1977,"216,332,000","1,029,580","19,120","63,500","412,610","534,350","9,955,000","3,071,500","5,905,700","977,700"
1978,"218,059,000","1,085,550","19,560","67,610","426,930","571,460","10,123,400","3,128,300","5,991,000","1,004,100"
1979,"220,099,000","1,208,030","21,460","76,390","480,700","629,480","11,041,500","3,327,700","6,601,000","1,112,800"
1980,"225,349,264","1,344,520","23,040","82,990","565,840","672,650","12,063,700","3,795,200","7,136,900","1,131,700"
1981,"229,146,000","1,361,820","22,520","82,500","592,910","663,900","12,061,900","3,779,700","7,194,400","1,087,800"
1982,"231,534,000","1,322,390","21,010","78,770","553,130","669,480","11,652,000","3,447,100","7,142,500","1,062,400"
1983,"233,981,000","1,258,090","19,310","78,920","506,570","653,290","10,850,500","3,129,900","6,712,800","1,007,900"
1984,"236,158,000","1,273,280","18,690","84,230","485,010","685,350","10,608,500","2,984,400","6,591,900","1,032,200"
1985,"238,740,000","1,328,800","18,980","88,670","497,870","723,250","11,102,600","3,073,300","6,926,400","1,102,900"
1986,"241,077,000","1,489,170","20,610","91,460","542,780","834,320","11,722,700","3,241,400","7,257,200","1,224,100"
